# 2006 AL Position Players, Season Totals
# y=hits, N=at-bats
# downloaded from: 
#   http://lingpipe-blog.com/2009/09/23/bayesian-estimators-for-the-beta-binomial-model-of-batting-ability/
# original data from: http://www.baseball1.com/
y,K
161,558
156,555
17,89
103,333
10,39
22,60
0,2
3,20
41,183
57,201
2,8
9,30
16,74
65,237
8,35
54,185
121,423
82,365
159,546
5,22
3,9
12,56
143,491
147,506
1,13
12,45
2,13
1,4
43,175
11,39
155,596
3,14
59,251
46,212
141,556
2,14
55,251
3,10
114,393
54,193
76,267
10,40
129,460
31,154
60,229
0,8
27,110
2,3
16,60
6,11
0,1
0,9
15,99
3,20
6,27
8,55
5,29
165,482
37,136
37,164
47,193
1,11
43,146
2,10
170,603
16,70
61,268
16,43
14,49
5,12
11,50
8,24
103,413
1,6
103,352
29,130
27,115
0,1
190,655
30,115
67,286
2,7
53,220
11,45
10,27
40,126
136,450
59,246
91,371
18,65
33,131
0,3
159,569
12,79
76,333
21,87
7,24
102,373
35,127
181,521
83,385
145,491
82,358
75,234
3,32
8,40
6,27
146,569
190,592
53,234
18,87
4,13
10,98
147,461
72,243
52,172
110,364
5,25
181,581
62,224
161,604
5,18
140,454
109,413
97,365
0,6
1,4
14,76
51,156
2,17
158,557
1,7
89,348
21,82
11,50
3,39
18,75
28,103
122,444
24,96
62,189
138,541
91,279
110,441
133,459
157,591
18,80
17,87
53,222
30,99
3,13
132,494
154,520
87,294
56,235
17,81
59,226
10,41
185,611
51,174
4,16
1,5
52,197
23,80
217,691
177,628
164,547
166,572
91,320
70,308
33,130
131,437
68,218
65,230
51,221
45,132
7,49
183,600
151,527
17,64
136,461
9,44
80,325
224,695
5,28
137,524
174,543
62,251
14,67
38,176
138,502
8,42
4,17
22,104
163,552
74,255
7,36
77,343
69,209
214,648
9,33
6,36
138,501
170,539
117,485
43,152
12,48
165,557
6,37
5,50
118,420
83,337
139,448
129,465
214,623
113,446
71,320
14,56
200,607
1,9
171,607
150,509
160,558
7,40
89,314
73,270
155,557
113,401
2,10
156,591
102,350
32,153
163,548
166,620
56,217
13,65
181,626
111,474
1,13
79,290
89,289
5,28
61,179
117,430
163,573
99,388
173,584
43,172
137,542
109,463
37,156
141,490
58,260
181,572
7,27
34,169
97,351
9,61
18,79
83,276
0,4
36,156
45,184
39,164
86,268
89,354
128,463
0,2
28,128
126,466
38,146
177,593
76,236
177,566
7,45
59,220
154,544
2,9
10,46
144,449
87,365
102,381
31,161
4,19
89,296
169,593
161,563
171,624
194,620
25,121
18,88
95,343
103,389
42,178
45,151
12,63
74,279
82,288
88,344
56,211
54,225
123,433
123,451
136,540
21,95
152,543
5,27
46,197